League,Week,Date,Time,Team,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NFL,1,9/7/2023,20,LIONS,CHIEFS,HALF_1,UNDER,28,0,0,0,,take down to 27)
NFL,1,9/10/2023,13,49ERS,STEELERS,GAME,OVER,41,0,0,0,,ok to take up to 42)
NFL,1,9/10/2023,13,TEXANS,RAVENS,GAME,SPREAD,+10,0,0,0,,ok to take down to 9)
NFL,1,9/10/2023,13,BROWNS,BENGALS,GAME,SPREAD,+2.5,0,0,0,,ok to take down to 1)
NFL,1,9/10/2023,13,BROWNS,BENGALS,GAME,MONEY,+110,0,0,0,, 
NFL,1,9/10/2023,13,CARDINALS,EX-REDSKINS,GAME,SPREAD,+7,0,0,0,,ok to take down to 6)
NFL,1,9/10/2023,13,CARDINALS,EX-REDSKINS,GAME,MONEY,+200,0,0,0,, 
NFL,1,9/10/2023,13,TITANS,SAINTS,GAME,OVER,41,0,0,0,,ok to take up to 42)
NFL,1,9/10/2023,13,COLTS,JAGS,GAME,SPREAD,+5,0,0,0,,ok to take down to 3)
NFL,1,9/10/2023,16,PACKERS,BEARS,HALF_1,UNDER,21.5,0,0,0,,ok to take down to 21)
NFL,1,9/10/2023,16,DOLPHINS,CHARGERS,HALF_1,UNDER,26,0,0,0,,ok to take down to 25)
NFL,1,9/10/2023,16,PATS,EAGLES,GAME,SPREAD,+4.5,0,0,0,,ok to take down to 3)
NFL,1,9/10/2023,16,PATS,EAGLES,GAME,MONEY,+140,0,0,0,, 
NFL,1,9/10/2023,16,RAMS,SEAHAWKS,HALF_1,SPREAD,+3.5,0,0,0,,ok to take down to 3)
NFL,1,9/10/2023,20,GIANTS,COWBOYS,GAME,SPREAD,+3.5,0,0,0,,ok to take down to 3)
NFL,1,9/11/2023,20,JETS,BILLS,GAME,OVER,46,0,0,0,,ok to take up to 47)
NFL,1,9/11/2023,20,JETS,BILLS,GAME,SPREAD,+2.5,0,0,0,,ok to take down to 1)
NFL,1,9/11/2023,20,JETS,BILLS,GAME,MONEY,+110,0,0,0,, 
